74.4,0,10.1,54.5,41.6,0,0.9,0.4,0,0,0.8,0
15.4,0,0.7,47.1,5.8,10.6,1,0,0,0.7,0.6,0.6
0,33.8,0.4,48.2,0.9,7.1,0,0,9.5,52.9,53.4,0.1
0.1,0.1,0,6,56.5,9.3,54.9,2.4,36.9,3.5,42.3,0
0.7,0.3,94.8,53.4,22,0,90.2,28.7,0,0,0,0.2
0.2,0,17.4,75.3,38.6,40.7,108.2,1.7,0.2,4.3,0,0
7.3,2.7,4.6,17.4,14.6,26.3,76.3,0,1.6,0,1.9,4
43.3,11.7,0.8,161.5,17.2,0,8.2,0.5,0.3,67.9,149.7,7.8
1.5,30.6,39.5,43.1,1.9,0,12.5,0,7.2,4.4,3.3,1.4
11.2,8.3,32.5,61.3,76.5,7.3,0,4.4,1.4,0,34.5,4.1
0.8,0,1.4,43.1,32.9,0,0,0,0,0.3,20,0
0,0,43.6,13.6,1.7,0,0,1.8,0,0.6,0,0
0,30.5,32.6,29,16.6,0,0.7,0,1.2,5.6,164.6,70.7
0,15.2,0,1.9,5.2,0,14.9,25.6,22.8,1.5,1.8,17.7
8.5,0,4,43.1,25.2,0,0,0.8,0,0,1.7,11.5
20.2,0.7,32.8,71.4,68.6,0,5.7,0,0,0,3.1,0
0,3.9,41.5,79.9,1.5,23.5,0,1.4,0,0,1.7,4.3
0.8,0,0,79.4,38.4,40.4,0,0,0,0,22.4,0
2.7,0,0.5,87,6.1,1.5,73.2,48,71.4,8.5,0.3,2.4
0,19.6,48,8.1,70.7,0,29,0,39.4,0,6.3,47.4
1.1,21.2,13.6,18,4.1,0,0,7.8,0,15.8,0,6.2
14.2,0.4,46.2,8.3,38.5,0,4.9,8.6,0,8.8,1.1,2
0,3.6,14.4,16.8,10.6,0.8,0,0.4,0,2.9,6.1,2
9,8.9,2.6,0.5,77.3,10.4,0,0,0,0,4,0
0,1,18.9,50.8,7.5,1.4,4.5,10.7,0,8.5,27.6,0.4
0,6.3,9.1,27.3,0,2.8,2.3,1.4,19.4,1.6,0,3.1
6.1,1.9,35.9,23.3,19.2,52.7,45.5,0,0,0,13.5,0
0,0,2,123.3,0.4,0,36.1,37,0,30,139.6,5.5
13.1,5.3,2.3,13.4,20.8,41.6,1.2,26.6,0,0,0.6,0
0,0,43.4,27.4,5.6,0,13.3,0,0,0.7,4.1,9.2
0,0,0,9.5,0,0,3.7,0,0,41.9,4.8,16
23.5,3.1,34.4,6.6,0,0,20.2,2.5,1.2,5.1,2.1,1
10,0,87.8,56.6,130.6,1.6,0,0,0,19.4,5.4,20.2
0,0,79.7,61.8,38.6,0,0,13.4,0,0,0,4.8
58.9,0,4,66.2,13.2,0,0,0,26.2,1.2,39.8,4.4
0.6,0,17.4,7.8,0,5.2,31.6,0,28.9,0,2.3,0
1.1,4.3,34.5,36.5,1.2,0,5.1,27.1,0.2,46.2,154.1,57.7
0,29.2,18.7,92.9,53.4,0,29.4,52.4,16.4,0,3.5,0.5
1,0,39,9.8,0.8,0,0,0,5.1,42.2,31.2,0
